"id","pregunta"
"14_NA_AP","¿Existe alguna a la IA que la pueda colocar en riesgo?"
"15_NA_AP","¿Hasta que punto la seguridad de estos datos obtenidos pueden llegar a ser ilegales?"
"16_NA_AP","¿En algun momento la IA puede desaparecer?"
"17_NA_AP","¿Como mediriamos la IA?"
"18_NA_AP","¿Como se podria humanizar la IA para sentirla más cercana?"
"19_NA_AP","¿Como podriamos reconocer las fuentes de la IA para reconocer el contexto por el cual genera el concepto ?"
"20_NA_AP","¿Podria la IA crear algo totalmente original?"
"21_NA_AP","¿Quien tendria los creditos de la creación desde IA?"
"22_NA_AP","¿La inteligencia artificial, descubre, relaciona o crea?"
"23_NA_AP","¿A partir de que momento la IA empieza a ser parte inherente del ser humano?"
"24_NA_AP","¿Hasta que punto puede evolucionar la IA?"
"25_NA_AP","¿Es posible que el ser humano pueda parar o limitar la IA?"
"26_NA_AP","¿Es posible que la IA pueda empezar a alimentarse sola ?"
"27_NA_AP","¿Es posible que la Ia pueda predecir el futuro de la misma?"
"28_NA_AP","¿Hasta que punto se puede colocar a escoger a la IA?"
"29_NA_AP","¿Es posible que la IA tenga restricciones de uso por parte de las elites para el consumo masivo?"
"30_NA_AP","¿Que prohibiciones debe tener la IA?"
"31_NA_AP","¿Hasta que punto se puede humanizar la IA?"
"32_NA_AP","¿Como la IA puede ser parte del cuerpo humano para evolucionarlo?"
"33_NA_AP","¿ En que modelos, negocio o espacios no podra entrar la IA?"
"34_NA_AP","¿El serhumano dependra de la IA en algún momento?"
"1_JCVP","¿Se puede programar AI para que brinde el soporte de un software y mejorarlo?"
"2_JCVP","¿Como puedo medir los resultados de AI?"
"3_JCVP","¿Como se puede medir los impactos de AI?"
"4_JCVP","¿Como es la regulación para los CEO generados desde AI?"
"5_JCVP","¿Como puedo sistematizar AI para que me genere paso a paso para implementar una metodología de Agilidad?"
"6_JCVP","¿Como se puede sistematizar los inventarios de AI?"
"7_JCVP","¿Como podemos optimizar los tiempos de las actividades de los operarios con AI?"
"8_JCVP","¿Que Inteligencias pueden limitar a la AI?"
"9_JCVP","¿Como se puede reducir la discriminación con AI?"
"10_JCVP","¿AI pude diagnosticar correctamente a una persona basada en sintomatologia y gentica?"
"11_JCVP","¿Quienes asumen los errores de la AI?"
"12_JCVP","¿En que campos no se aplicaria AI?"
"13_JCVP","¿Como se puede dar una segunda oportunidad de utilización para activos físicos con AI?"
"14_JCVP","¿Que Inteligencias pueden imitar a la AI?"
"15_JCVP","¿Cuales son las competencias del AI?"
"16_JCVP","¿Como se puede predecir que información debe ser restringir desde  AI?"
"17_JCVP","¿Como se puede generar desde AI derechos de autor para los libros que se crean ?"
"18_JCVP","¿AI puede formatear computadores?"
"19_JCVP","¿Cual es el ROI de la AI?"
"20_JCVP","¿Como puedo programar AI para que pueda dar retroalimentación y alertas a los sistemas o software?"
"21_JCVP","¿Como podemos programar el AI para que me determine el tiempo de depreciación de un activo fijo?"
"22_JCVP","¿Como se puedan dar regulaciones desde AI para CEO?"
"23_JCVP","¿Con AI se puede hace una tesis completa?"
"24_JCVP","¿Como se pueden fabricar madera generativa desde AI sin impactar el ecosistema?"
"25_JCVP","¿Como AI me puede ayudar para genera alimento hidroponicos?"
"26_JCVP","¿Como AI me puede ayudar a sistematizar el modelo de los parqueaderos?"
"27_JCVP","¿Como se puede dar regulaciones y buenas practicas para SEO?"
"28_JCVP","¿Como se puede hacer una carrera en AI?"
"1_LM_KC","¿Cómo saber que la información que entrega la IA es real?"
"2_LM_KC","¿Cómo saber las fuentes de donde saca la información, en el caso de ChatGPT?"
"3_LM_KC","¿Cuál sería la mejor forma de búsqueda de información?"
"4_LM_KC","¿Cómo saber que la información entregada la realizó la IA?"
"5_LM_KC","¿Siendo la información libre, deberían cobrar la utilización de la información pública?"
"6_LM_KC","¿Cómo saber cual es el mejor modelo para el tipo de información que yo requiero en mi campo?"
"7_LM_KC","¿Cuáles son los campos de acción de la inteligencia artificial?"
"8_LM_KC","¿Cuáles son los tipos de inteligencia artificial?"
"9_LM_KC","¿Cómo doy contexto correctamente a la IA para que me genere las respuestas que necesito?"
"10_LM_KC","¿Cuál es el sistema que utiliza la IA para crear respuestas acertadas?"
"11_LM_KC","¿Cómo se entrenan las IA?"
"12_LM_KC","¿Existe alguna página donde se pueda explorar lo que las empresas hacen con la IA?"
"13_LM_KC","¿Quiénes están detrás de la IA?"
"14_LM_KC","¿Cuáles pueden ser las nuevas profesiones que se generarían integrando la IA en nuestro día a día?"
"15_LM_KC","¿Cómo hacer para que la IA  no se convierta en un monopolio?"
"16_LM_KC","¿Cómo integrar la IA en las labores académicas de las instituciones de educación superior, de manera ética?"
"17_LM_KC","¿Que es realmente la inteligencia artificail?"
"20_LM_KC","¿En qué momento se convierte en Inteligencia Artificial?"
"1_GC","¿Qué es la inteligencia artificial desde el punto de vista ético?"
"2_GC","¿Cuáles son los diferentes tipos de inteligencia artificial?"
"3_GC","¿Cómo funciona la inteligencia artificial,, es realmente autonoma?"
"4_GC","¿Cuáles son las aplicaciones de la inteligencia artificial?"
"5_GC","¿Cuáles son los beneficios de la inteligencia artificial frentea la inteligencia humana?"
"6_GC","¿Cuáles son los riesgos de la inteligencia artificial?"
"7_GC","¿Cómo se puede garantizar la seguridad y la ética de la inteligencia artificial?"
"8_GC","¿Cómo se puede asegurar que la inteligencia artificial sea beneficiosa para la humanidad?"
"9_GC","¿Cuál es el futuro de la inteligencia artificial?"
"10_GC","¿Cómo afectará la inteligencia artificial a la sociedad?"
"11_GC","¿Cómo afectará la inteligencia artificial al mercado laboral?"
"12_GC","¿Cómo afectará la inteligencia artificial a la economía?"
"13_GC","¿Cómo afectará la inteligencia artificial a la política?"
"14_GC","¿Cómo afectará la inteligencia artificial a la cultura?"
"15_GC","¿Cómo afectará la inteligencia artificial a la ética?"
"16_GC","¿Cómo afectará la inteligencia artificial a la religión?"
"17_GC","¿Cómo afectará la inteligencia artificial a la filosofía?"
"18_GC","¿Cómo afectará la inteligencia artificial a la ciencia ficción?"
"19_GC","¿Cómo afectará la inteligencia artificial a la historia?"
"20_GC","¿Cómo afectará la inteligencia artificial al futuro?"
"21_GC","¿Cómo puede la inteligencia artificial ayudar a resolver los problemas del mundo?"
"22_GC","¿Cómo puede la inteligencia artificial ayudar a mejorar la calidad de vida de las personas?"
"23_GC","¿Cómo puede la inteligencia artificial ayudar a crear un mundo más justo y equitativo?"
"24_GC","¿Cómo puede la inteligencia artificial ayudar a proteger el medio ambiente?"
"25_GC","¿Cómo puede la inteligencia artificial ayudar a promover la paz y la cooperación entre las naciones?"
"26_GC","¿Cómo puede la inteligencia artificial ayudar a explorar el universo?"
"27_GC","¿Cómo puede la inteligencia artificial ayudar a descubrir nuevos conocimientos?"
"28_GC","¿Cómo puede la inteligencia artificial ayudar a crear nuevas formas de arte y entretenimiento?"
"29_GC","¿Cómo puede la inteligencia artificial ayudar a mejorar la educación?"
"30_GC","¿Cómo puede la inteligencia artificial ayudar a mejorar la atención médica?"
"31_GC","¿Cómo puede la inteligencia artificial ayudar a mejorar la seguridad?"
"32_GC","¿Cómo puede la inteligencia artificial ayudar a mejorar la productividad?"
"33_GC","¿Cómo puede la inteligencia artificial ayudar a ahorrar dinero?"
"34_GC","¿Cómo puede la inteligencia artificial ayudar a hacer la vida más fácil y cómoda?"
"35_GC","¿Cómo puede la inteligencia artificial ayudar a hacer el mundo un lugar mejor?"
"36_GC","¿Cómo puede la inteligencia artificial ayudar a prevenir el uso indebido de la inteligencia artificial?"
"37_GC","¿Cómo puede la inteligencia artificial ayudar a evitar que la inteligencia artificial se vuelva contra los humanos?"
"38_GC","¿Cómo puede la inteligencia artificial ayudar a garantizar que la inteligencia artificial sea utilizada de manera responsable?"
"39_GC","¿Cómo puede la inteligencia artificial ayudar a crear un futuro en el que la inteligencia artificial y los humanos puedan coexistir pacíficamente?"
"40_GC","¿Cómo puede la inteligencia artificial ayudar a crear un futuro en el que la inteligencia artificial sea una fuerza para el bien en el mundo?"
"41_GC","¿ Cuales serían los criterios para stablecer la autonomía en la AI?"
"42_GC","¿ Como se interpretar las palabras similares para diferentes cosmovisiones?"
